OBJECTID_1,FULLADDR,ADDRNUM,STREETNAME,STREETSUFF
62744,BLK 5500 S BOULDER RD,5500,BOULDER,RD
62748,BLK 2900 STATE HWY 157,2900,STATE HWY 157, 
62751,BLK 2600 63RD ST,2600,63RD,ST
62761,BLK 5700 S BOULDER RD,5700,BOULDER,RD
62762,BLK 5500 BOULDER CREEK BIKE PATH,5500,BOULDER CREEK BIKE,PATH
62766,BLK 1400 OLD TALE RD,1400,OLD TALE,RD
62768,BLK 6000 OREG AVE,6000,OREG,AVE
62770,BLK 2700 63RD ST,2700,63RD,ST
62771,BLK 2900 STAZIO DR,2900,STAZIO,DR
62773,BLK 5900 BUTTE MILL RD,5900,BUTTE MILL,RD
62774,BLK 3400 FOOTHILLS PKWY,3400,FOOTHILLS,PKWY
